oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
Samsung,Continuum I400,2010,Discontinued,null,125,Mini-SIM,Super AMOLED capacitive touchscreen  16M colors,3.4 inches  32.9 cm (~45.4% screen-to-body ratio),480 x 800 pixels  5:3 ratio (~274 ppi density),Accelerometer  gyro  proximity  compass,Android 2.1 (Eclair)  upgradable to 2.2 (Froyo)
Samsung,Focus,2010,Discontinued,null,4,Mini-SIM,Super AMOLED capacitive touchscreen  16M colors,4.0 inches  45.5 cm (~56.8% screen-to-body ratio),480 x 800 pixels  5:3 ratio (~233 ppi density),Accelerometer  proximity  compass,Microsoft Windows Phone 7
Samsung,P940,2006,Cancelled,null,null,Mini-SIM,TFT  256K colors,2.15 inches  14.3 cm,240 x 320 pixels  4:3 ratio (~186 ppi density),V1,null
Samsung,D550,2005,Cancelled,null,119,Mini-SIM,TFT  256K colors,2.3 inches  35 x 46 mm  16.6 cm (~36.5% screen-to-body ratio),176 x 220 pixels (~122 ppi density),V1,null
Samsung,P860,2005,Cancelled,null,null,Mini-SIM,TFD  16M colors,null,320 x 240 pixels  4:3 ratio,V1,null
Samsung,Z700,2005,Cancelled,null,125,Mini-SIM,TFT  256K colors,null,320 x 240 pixels  4:3 ratio,V1,null
Samsung,D710,2004,Cancelled,null,110,Mini-SIM,TFT  256K colors,null,208 x 176 pixels,V1,Symbian 7.0s  Series 60 UI
Samsung,i530,2004,Cancelled,null,145,Mini-SIM,UFS  65K colors,null,162 x 176 pixels (324 x 352 support)  14 lines,V1,Palm 5.2
Samsung,i505,2004,Cancelled,null,147,Mini-SIM,TFT resistive  touchscreen  65K colors,null,162 x 176 pixels (324 x 352 support)  14 lines,V1,Palm 5.2.1
Samsung,i250,2004,Cancelled,null,130,Mini-SIM,TFT  65K colors,null,176 x 220 pixels,V1,Microsoft Smartphone 2003
Samsung,X900,2004,Cancelled,null,116,Mini-SIM,TFT  256K colors,null,176 x 220 pixels,V1,null
Samsung,E410,2004,Discontinued,null,80,Mini-SIM,UFB  65K colors,null,128 x 128 pixels  1:1 ratio,V1,null
Samsung,P705,2003,Cancelled,null,130,Mini-SIM,TFT  256K colors,null,176 x 220 pixels,V1,null
Samsung,D700,2003,Cancelled,null,110,Mini-SIM,TFT  65K colors,null,176 x 208 pixels,V1,Symbian  Series 60 UI
Samsung,P500,2003,Cancelled,null,93,Mini-SIM,TFD  65K colors,null,128 x 160 pixels,V1,null
Samsung,Watch Phone,2003,Cancelled,null,80,Mini-SIM,OLED  256 colors,null,94 x 64 pixels  3:2 ratio,V1,Proprietary OS
Samsung,T400,2002,Discontinued,null,80,Mini-SIM,TFT  65K colors,null,128 x 144 pixels,V1,null
Samsung,Q300,2002,Discontinued,null,89,Mini-SIM,Grayscale graphic  4 shades,null,16 lines  128 x 128 pixels,V1,null
Samsung,Q200,2002,Discontinued,null,90,Mini-SIM,Grayscale graphic  4 shades,null,128 x 128 pixels  1:1 ratio,V1,null
Samsung,A400,2001,Discontinued,null,80,Mini-SIM,Grayscale graphic  4 shades,null,128 x  96 pixels  6 lines,V1,null
Samsung,Q100,2001,Discontinued,null,85,Mini-SIM,Monochrome graphic,null,128 x 128 pixels  1:1 ratio,V1,null
Samsung,SGH-250,1996,Discontinued,null,179,Mini-SIM,Alphanumeric,null,3 x 12 chars,V1,null
Sendo,P600,2004,Discontinued,null,85,Mini-SIM,TFT  65K colors,null,128 x 128 pixels  1:1 ratio,V1,null
Sendo,SV663,2004,Discontinued,null,86,Mini-SIM,CSTN  65K colors,null,128 x 160 pixels,V1,null
Sendo,M570,2004,Discontinued,null,77,Mini-SIM,UFB  65K colors,null,128 x 128 pixels  1:1 ratio,V1,null
Sendo,S330,2003,Discontinued,null,81,Mini-SIM,CSTN  4096 colors,null,98 x 67 pixels  5 lines  3:2 ratio,V1,null
Sendo,J520,2001,Discontinued,null,75,Mini-SIM,Monochrome graphic,null,96 x 64 pixels  6 lines  3:2 ratio,V1,null
Sewon,SRS-3300,2005,Discontinued,null,90,Mini-SIM,TFT  256K colors,null,128 x 160 pixels,V1,null
Sewon,SRD-3000,2004,Discontinued,null,90,Mini-SIM,TFT  256K colors,null,176 x 220 pixels,V1,null
Sewon,SRD-200,2004,Discontinued,null,95,Mini-SIM,STN  65K colors,null,128 x 128 pixels  1:1 ratio,V1,null
Sewon,SGD-1050,2004,Discontinued,null,90,Mini-SIM,STN  65K colors,null,128 x 128 pixels  1:1 ratio,V1,null
Sewon,SGD-1030,2004,Discontinued,null,90,Mini-SIM,STN  65K colors,null,128 x 128 pixels  1:1 ratio,V1,null
Sewon,SGD-1020,2004,Discontinued,null,90,Mini-SIM,STN  65K colors,null,128 x 128 pixels  1:1 ratio,V1,null
Sewon,SGD-1010,2004,Discontinued,null,90,Mini-SIM,STN  65K colors,null,128 x 128 pixels  1:1 ratio,V1,null
Sewon,SGD-1000,2004,Discontinued,null,90,Mini-SIM,STN  65K colors,null,128 x 128 pixels  1:1 ratio,V1,null
Sewon,SGD-106,2004,Discontinued,null,80,Mini-SIM,CSTN  256 colors,null,128 x 128 pixels  1:1 ratio,V1,null
Sewon,SGD-105,2004,Discontinued,null,80,Mini-SIM,CSTN  256 colors,null,128 x 128 pixels  1:1 ratio,V1,null
Sewon,SGD-102,2004,Discontinued,null,80,Mini-SIM,CSTN  256 colors,null,128 x 128 pixels  1:1 ratio,V1,null
Sewon,SGD-101,2004,Discontinued,null,80,Mini-SIM,CSTN  256 colors,null,128 x 128 pixels  1:1 ratio,V1,null
Sewon,SG-2890CD,2004,Discontinued,null,80,Mini-SIM,CSTN  256 colors,null,128 x 128 pixels  1:1 ratio,V1,null
Sewon,SG-2300CD,2004,Discontinued,null,72,Mini-SIM,CSTN  256 colors,null,128 x 128 pixels  1:1 ratio,V1,null
Sewon,SG-2320CD,2004,Discontinued,null,72,Mini-SIM,CSTN  256 colors,null,128 x 128 pixels  1:1 ratio,V1,null
Sewon,SG-2200CD,2004,Discontinued,null,72,Mini-SIM,CSTN  256 colors,null,128 x 128 pixels  1:1 ratio,V1,null
Sewon,SG-P100,2004,Discontinued,null,82,Mini-SIM,STN  256 colors,null,101 x 80 pixels,V1,null
Sharp,Aquos Zero 2,2020,2020,null,141,Nano-SIM,OLED capacitive touchscreen  1B colors,6.4 inches  100.5 cm (~86.0% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~403 ppi density),Fingerprint (under display  optical)  accelerometer  gyro  proximity  compass,Android 10
Sharp,Aquos V,2019,2019,null,173,Hybrid Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.9 inches  89.8 cm (~75.3% screen-to-body ratio),1080 x 2160 pixels  18:9 ratio (~409 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity  compass,Android 9.0 (Pie)
Sharp,AQUOS  941SH,2009,Discontinued,null,130,Mini-SIM,TFT resistive touchscreen  16M colors,4.0 inches  39.7 cm (~62.9% screen-to-body ratio),480 x 1024 (~283 ppi density),Accelerometer  proximity,null
Sharp,940SH,2009,Discontinued,null,130,Mini-SIM,TFT resistive touchscreen  16M colors,3.4 inches  31.9 cm (~56.3% screen-to-body ratio),854 x 480 pixels  16:9 ratio (~288 ppi density),V1,null
Sharp,550SH,2006,Discontinued,null,98,Mini-SIM,TFT  256K colors,2.0 inches  30 x 40 mm  12.4 cm (~23.7% screen-to-body ratio),240 x 320 pixels  4:3 ratio (~200 ppi density),V1,null
Sharp,GX17,2005,Discontinued,null,85,Mini-SIM,TFT  65K colors,1.9 inches  11.2 cm (~23.2% screen-to-body ratio),120 x 160 pixels  4:3 ratio (~105 ppi density),V1,null
Sharp,GX40,2005,Discontinued,null,98,Mini-SIM,TFT  256K colors,null,240 x 320 pixels  2.0 inch  4:3 ratio,V1,null
Sharp,GX25/GZ200,2004,Discontinued,null,90,Mini-SIM,TFT  256K colors,null,320 x 240 pixels  4:3 ratio,V1,null
Sharp,TM150,2004,Discontinued,null,113,Mini-SIM,TFT  256K colors,2.2 inches  33 x 45 mm  15.0 cm (~37.5% screen-to-body ratio),240 x 320 pixels  4:3 ratio (~182 ppi density),V1,null
Sharp,GX30,2004,Discontinued,null,110,Mini-SIM,CGS  256K colors,2.2 inches  33 x 45 mm  15.0 cm (~32.2% screen-to-body ratio),240 x 320 pixels  8 lines  4:3 ratio (~182 ppi density),V1,null
Sharp,GX22,2003,Discontinued,null,102,Mini-SIM,CGS  256K colors,null,240 x 320 pixels  4:3 ratio,V1,null
Sharp,GX20,2003,Discontinued,null,102,Mini-SIM,CGS  65K colors,null,240 x 320 pixels  4:3 ratio,V1,null
Sharp,GX10i,2003,Discontinued,null,110,Mini-SIM,TFT  65K colors,null,120 x 160 pixels  4:3 ratio,V1,null
Sharp,GX10,2002,Discontinued,null,110,Mini-SIM,TFT  65K colors,null,120 x 160 pixels  4:3 ratio,V1,null
Sharp,GX1,2002,Discontinued,null,110,Mini-SIM,GFC  65K Colors,null,120 x 160 pixels  4:3 ratio,V1,null
Siemens,CX70,2004,Discontinued,null,90,Mini-SIM,TFT  65K colors,null,132 x 176 pixels  9 lines  4:3 ratio,V1,null
Siemens,PenPhone,2004,Cancelled,null,null,Mini-SIM,LCD,null,null,V1,null
Siemens,ST60,2004,Discontinued,null,87,Mini-SIM,TFT  65K colors,null,120 x 160 pixels  4:3 ratio,V1,null
Siemens,U15,2003,Discontinued,null,140,Mini-SIM,TFT  65K colors,null,176 x 220 pixels,V1,null
Siemens,ST55,2003,Discontinued,null,87,Mini-SIM,TFT  65K colors,null,120 x 160 pixels  7 lines  4:3 ratio,V1,null
Siemens,Xelibri 1,2003,Discontinued,null,73,Mini-SIM,Monochrome graphic,null,101 x 64 pixels,V1,null
Siemens,Xelibri 2,2003,Discontinued,null,73,Mini-SIM,Monochrome graphic,null,101 x 65 pixels  5 lines,V1,null
Siemens,Xelibri 3,2003,Discontinued,null,55,Mini-SIM,Monochrome graphic,null,101 x 56 pixels  5 lines  17:9 ratio,V1,null
Siemens,Xelibri 4,2003,Discontinued,null,71,Mini-SIM,Monochrome graphic,null,101 x 65 pixels  5 lines,V1,null
Siemens,M55,2003,Discontinued,null,83,Mini-SIM,CSTN  4096 colors,null,101 x 80 pixels  7 lines,V1,null
Siemens,SL55,2003,Discontinued,null,79,Mini-SIM,CSTN  4096 colors,null,101 x 80 pixels,V1,null
Siemens,S55,2002,Discontinued,null,85,Mini-SIM,CSTN  256 colors,null,101 x 80 pixels  7 lines,V1,null
Siemens,SX45,2001,Discontinued,null,330,Mini-SIM,TFT resistive touchscreen  65K colors,null,240 x 320 pixels  4:3 ratio,V1,Microsoft Windows CE 3.0 for PocketPC
Siemens,SL45i,2001,Discontinued,null,88,Mini-SIM,Monochrome graphic,1.5 inches  24 x 29 mm  7.1 cm (~14.6% screen-to-body ratio),101 x 80 pixels  7 lines (~86 ppi density),V1,null
Siemens,SL42,2001,Discontinued,null,88,Mini-SIM,Monochrome graphic,1.5 inches  24 x 29 mm  7.1 cm (~14.6% screen-to-body ratio),101 x 80 pixels  7 lines (~86 ppi density),V1,null
Siemens,SL45,2000,Discontinued,null,88,Mini-SIM,Monochrome graphic,1.5 inches  24 x 29 mm  7.1 cm (~14.6% screen-to-body ratio),101 x 80 pixels  7 lines (~86 ppi density),V1,null
Siemens,A36,2000,Discontinued,null,120,Mini-SIM,Alphanumeric,null,3 x 12 chars,V1,null
Siemens,M30,2000,Discontinued,null,110,Mini-SIM,Alphanumeric,null,2 x 12 chars,V1,null
Siemens,C28,2000,Discontinued,null,135,Mini-SIM,Alphanumeric,null,3 x 12 chars,V1,null
Sony,Xperia 1 II,2020,2020,null,4,Hybrid Dual SIM (Nano-SIM  dual stand-by),OLED capacitive touchscreen  1B colors,6.5 inches  98.6 cm (~84.0% screen-to-body ratio),1644 x 3840 pixels  21:9 ratio (~643 ppi density),Fingerprint (side-mounted)  accelerometer  gyro  proximity  barometer  compass  color spectrum,Android 10
Sony,Xperia 10 II,2020,2020,null,151,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM  dual stand-by),OLED capacitive touchscreen  16M colors,6.0 inches  84.1 cm (~77.6% screen-to-body ratio),1080 x 2520 pixels  21:9 ratio (~457 ppi density),Fingerprint (side-mounted)  accelerometer  proximity  compass,Android 10
Sony,Xperia L4,2020,2020,null,178,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.2 inches  89.8 cm (~79.5% screen-to-body ratio),720 x 1680 pixels  21:9 ratio (~295 ppi density),Fingerprint (side-mounted)  accelerometer  proximity  compass,Android 9.0 (Pie)
Sony,Xperia 5,2019,2019,null,164,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM  dual stand-by),OLED capacitive touchscreen  16M colors,6.1 inches  86.9 cm (~80.9% screen-to-body ratio),1080 x 2520 pixels  21:9 ratio (~449 ppi density),Fingerprint (side-mounted)  accelerometer  gyro  proximity  barometer  compass  color spectrum,Android 9.0 (Pie)  upgradable to Android 10
Sony,CMD Z7,2001,Discontinued,null,95,Mini-SIM,Grayscale graphic  4 shades,null,96 x 92 pixels  6 lines  1:1 ratio,V1,null
Sony,CMD J70,2001,Discontinued,null,92,Mini-SIM,Grayscale graphic  4 shades,null,96 x 92 pixels  6 lines  1:1 ratio,V1,null
Sony,CMD J7,2001,Discontinued,null,92,Mini-SIM,Grayscale graphic  4 shades,null,96 x 92 pixels  6 lines  1:1 ratio,V1,null
Sony,CMD MZ5,null,Discontinued,null,110,Mini-SIM,Grayscale graphic  4 shades,null,96 x 72 pixels  5 lines  4:3 ratio,V1,null
Sony,CMD J6,2001,Discontinued,null,82,Mini-SIM,Grayscale graphic  4 shades,null,96 x 92 pixels  6 lines  1:1 ratio,V1,null
Sony,CMD Z1 plus,1997,Discontinued,null,195,Mini-SIM,Monochrome graphic,null,97 x 32 pixels  5 lines,V1,null
Sony,CMD Z1,1997,Discontinued,null,220,Mini-SIM,Monochrome graphic,null,97 x 32 pixels  5 lines,V1,null
Sony,CM-DX 2000,1997,Discontinued,null,185,Mini-SIM,Monochrome graphic,null,97 x 33 pixels  4 x 16 chars,V1,null
Sony,CM-DX 1000,1997,Discontinued,null,235,Mini-SIM,Monochrome graphic,null,4 x 16 chars,V1,null
Sony Ericsson,Z700,2002,Cancelled,null,95,Mini-SIM,STN  256 colors,null,null,V1,null
Sony Ericsson,Windows Phone 7,null,Cancelled,null,null,Mini-SIM,TFT capacitive touchscreen  16M colors,null,null,Accelerometer,Microsoft Windows Phone 7
Spice,Mi-285 Stellar,2012,Discontinued,null,79,Dual SIM (Mini-SIM),TFT capacitive touchscreen  256K colors,2.8 inches  24.3 cm (~35.7% screen-to-body ratio),240 x 320 pixels  4:3 ratio (~143 ppi density),V1,Android 2.3 (Gingerbread)
T-Mobile,Revvlry+,2019,2019,null,null,Nano-SIM,IPS LCD capacitive touchscreen  16M colors,6.24 inches  97.5 cm (~81.8% screen-to-body ratio),1080 x 2270 pixels  19:9 ratio (~403 ppi density),Fingerprint (rear-mounted)  accelerometer  gyro  proximity  compass,Android 9.0 (Pie)
T-Mobile,Revvlry,2019,2019,null,null,Nano-SIM,IPS LCD capacitive touchscreen  16M colors,5.7 inches  81.1 cm (~76.4% screen-to-body ratio),720 x 1520 pixels  19:9 ratio (~295 ppi density),Fingerprint (rear-mounted)  accelerometer  gyro  proximity  compass,Android 9.0 (Pie)
TCL,10 5G,2020,2020,null,210,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.53 inches  104.7 cm (~83.5% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~395 ppi density),Fingerprint (rear-mounted)  accelerometer  gyro  proximity  compass,Android 10  TCL UI
TCL,10 Pro,2020,2020,null,177,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM  dual stand-by),AMOLED capacitive touchscreen  16M colors,6.47 inches  102.8 cm (~89.5% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~398 ppi density),Fingerprint (under display  optical)  accelerometer  gyro  proximity  compass,Android 10  planned upgrade to Android 11  TCL UI
TCL,10L,2020,2020,null,180,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.53 inches  104.7 cm (~85.4% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~395 ppi density),Fingerprint (rear-mounted)  accelerometer  gyro  proximity  compass,Android 10  planned upgrade to Android 11  TCL UI
TCL,Plex,2019,2019,null,192,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.53 inches  104.7 cm (~84.2% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~395 ppi density),Fingerprint (rear-mounted)  accelerometer  gyro  proximity  compass,Android 9.0 (Pie)  upgradable to Android 10
TECNO,Spark Power 2,2020,2020,null,220,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,7.0 inches  116.4 cm (~83.6% screen-to-body ratio),720 x 1640 pixels (~256 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity,Android 10  HIOS 6.1
TECNO,Spark 5 Air,2020,2020,null,null,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,7.0 inches  116.4 cm (~84.0% screen-to-body ratio),720 x 1640 pixels (~256 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity,Android 10 (Go edition)  HIOS 6.0
TECNO,Spark 5,2020,2020,null,null,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.6 inches  105.2 cm (~83.7% screen-to-body ratio),720 x 1600 pixels  20:9 ratio (~266 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity,Android 10  HIOS 6.1
TECNO,Camon 15 Premier,2020,2020,null,203,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.6 inches  106.9 cm (~84.3% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~390 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity,Android 10  HIOS 6.0
TECNO,Camon 15 Air,2020,2020,null,null,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.6 inches  105.2 cm (~83.6% screen-to-body ratio),720 x 1600 pixels  20:9 ratio (~266 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity,Android 10  HIOS 6.0
TECNO,Camon 15 Pro,2020,2020,null,203,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.6 inches  106.9 cm (~84.3% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~390 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity,Android 10  HIOS 6.0
TECNO,Camon 15,2020,2020,null,196,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.6 inches  105.2 cm (~83.9% screen-to-body ratio),720 x 1600 pixels  20:9 ratio (~266 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity,Android 10  HIOS 6.0
TECNO,Camon 12 Air,2019,2019,null,181,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.55 inches  103.6 cm (~82.9% screen-to-body ratio),720 x 1600 pixels  20:9 ratio (~268 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity,Android 9.0 (Pie)  HIOS 5.5
TECNO,Pop 3 Plus,2019,2019,null,5,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.52 inches  102.6 cm (~81.2% screen-to-body ratio),720 x 1600 pixels  20:9 ratio (~269 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity,Android 9.0 (Pie)  HIOS 5.5
TECNO,Spark 4 Lite,2019,2019,null,null,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.52 inches  102.6 cm (~81.2% screen-to-body ratio),720 x 1600 pixels  20:9 ratio (~269 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity,Android 9.0 (Pie)  HIOS 5.5
TECNO,Camon 12 Pro,2019,2019,null,161,Dual SIM (Nano-SIM  dual stand-by),AMOLED capacitive touchscreen  16M colors,6.35 inches  97.4 cm (~81.3% screen-to-body ratio),720 x 1600 pixels  20:9 ratio (~276 ppi density),Fingerprint (under display  optical)  accelerometer  proximity,Android 9.0 (Pie)  HIOS 5.5
TECNO,Camon 12,2019,2019,null,7,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.52 inches  102.6 cm (~81.6% screen-to-body ratio),720 x 1600 pixels  20:9 ratio (~269 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity,Android 9.0 (Pie)  HIOS 5.5
TECNO,Pouvoir 3 Air,2019,2019,null,null,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.0 inches  92.9 cm (~72.9% screen-to-body ratio),480 x 960 pixels  18:9 ratio (~179 ppi density),Fingerprint (rear-mounted)  accelerometer,Android 9.0 Pie (Go edition)  HIOS 5.0
TECNO,Pouvoir 3 Plus,2019,2019,null,null,Dual SIM (Nano-SIM  dual stand-by),AMOLED capacitive touchscreen  16M colors,6.35 inches  99.5 cm (~82.3% screen-to-body ratio),720 x 1548 pixels (~269 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity  compass,Android 9.0 (Pie)  HIOS 5.0
TECNO,Pouvoir 3,2019,2019,null,168,Dual SIM (Micro-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.2 inches  96.7 cm (~80.0% screen-to-body ratio),720 x 1500 pixels (~268 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity,Android 8.1 (Oreo)  HIOS 4.1
TECNO,Spark 3,2019,2019,null,null,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.2 inches  96.7 cm (~82.2% screen-to-body ratio),720 x 1500 pixels (~268 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity,Android 9.0 (Pie)  HIOS 5.0
TECNO,Spark 3 Pro,2019,2019,null,null,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.2 inches  96.7 cm (~83.0% screen-to-body ratio),720 x 1500 pixels (~268 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity,Android 9.0 (Pie)  HIOS 5.0
TECNO,Spark Go,2019,2019,null,174,Dual SIM,IPS LCD capacitive touchscreen  16M colors,6.1 inches  91.3 cm (~78.0% screen-to-body ratio),720 x 1560 pixels  19.5:9 ratio (~282 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity,Android 9.0 (Pie)  HIOS 5.0
TECNO,Pop 2 F,2019,2019,null,155,Dual SIM (Micro-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.45 inches  76.7 cm (~70.3% screen-to-body ratio),480 x 960 pixels  18:9 ratio (~197 ppi density),Fingerprint (rear-mounted)  accelerometer,Android 8.1 Oreo (Go edition)
TECNO,Pop 2 Plus,2019,2019,null,205,Dual SIM (Micro-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.0 inches  92.9 cm (~72.8% screen-to-body ratio),480 x 960 pixels  18:9 ratio (~179 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity  compass,Android 8.1 Oreo (Go edition)
TECNO,Phantom 9,2019,2019,null,4,Dual SIM (Nano-SIM  dual stand-by),AMOLED capacitive touchscreen  16M colors,6.39 inches  100.2 cm (~84.0% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~403 ppi density),Fingerprint (under display  optical)  accelerometer  gyro  proximity  compass,Android 9.0 (Pie)
Tel.Me.,T918,2003,Discontinued,null,125,Mini-SIM,CSTN touchscreen  65K colors,null,128 x 160 pixels,V1,null
Tel.Me.,T919i,2003,Discontinued,null,134,Mini-SIM,CSTN resistive touchscreen  32K colors,null,128 x 256 pixels  18:9 ratio,V1,null
Tel.Me.,T919,2003,Discontinued,null,115,Mini-SIM,CSTN resistive touchscreen  32K colors,null,256 x 128 pixels  18:9 ratio,V1,null
Tel.Me.,T909c,null,Discontinued,null,80,Mini-SIM,Monochrome graphic,null,112 x 64 pixels  16:9 ratio,V1,null
Telit,C1000,2005,Discontinued,null,5,Mini-SIM,TFT resistive touchscreen  256K colors,null,128 x 160 pixels,V1,null
Telit,T91,2004,Discontinued,null,85,Mini-SIM,TFT  65K colors,null,128 x 160 pixels,V1,null
Telit,T90,2004,Discontinued,null,85,Mini-SIM,TFT  65K colors,null,128 x 160 pixels,V1,null
Telit,NEO,2004,Discontinued,null,65,Mini-SIM,TFT  65K colors,null,128 x 128 pixels  1:1 ratio,V1,null
Telit,G83,2003,Discontinued,null,90,Mini-SIM,TFT  65K colors,null,128 x 160 pixels,V1,null
Telit,G80,2002,Discontinued,null,96,Mini-SIM,CSTN  65K colors,null,160 x 120 pixels  4:3 ratio,Barometer  altimeter,null
Telit,G82,2002,Discontinued,null,90,Mini-SIM,CSTN  4096 colors,null,128 x 96 pixels  4:3 ratio,V1,null
Telit,G40,2003,Discontinued,null,75,Mini-SIM,Monochrome graphic,null,101 x 80 pixels,V1,null
Telit,GM 882,2002,Discontinued,null,100,Mini-SIM,Monochrome graphic,null,132 x 65 pixels  18.5:9 ratio,V1,null
Telit,GM 810,1999,Discontinued,null,105,Mini-SIM,Monochrome graphic,null,4 lines,V1,null
Telit,Estremo,1999,Discontinued,null,176,Mini-SIM,Monochrome graphic,null,4 lines,V1,null
Telit,GM 710,1999,Discontinued,null,105,Mini-SIM,Monochrome graphic,null,4 lines,V1,null
Ulefone,Note 8P,2020,2020,null,153,Dual SIM (Micro-SIM/Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.5 inches  74.1 cm (~78.7% screen-to-body ratio),442 x 960 pixels  19.5:9 ratio (~192 ppi density),Accelerometer,Android 10 (Go edition)
Ulefone,Armor X7 Pro,2020,2020,null,234,Hybrid Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches  68.9 cm (~58.2% screen-to-body ratio),720 x 1280 pixels  16:9 ratio (~294 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity  compass,Android 10
Ulefone,Armor 7E,2020,2020,null,290,Hybrid Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.3 inches  97.4 cm (~72.5% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~409 ppi density),Fingerprint (side-mounted)  accelerometer  gyro  proximity  compass  heart rate  baroceptor  coulombmeter,Android 9.0 (Pie)
Ulefone,Armor X7,2020,2020,null,234,Hybrid Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches  68.9 cm (~58.2% screen-to-body ratio),720 x 1280 pixels  16:9 ratio (~294 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity  compass,Android 10
Ulefone,Armor 7,2019,2019,null,290,Hybrid Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.3 inches  97.4 cm (~72.5% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~409 ppi density),Fingerprint (side-mounted)  accelerometer  gyro  proximity  compass  heart rate  baroceptor  coulombmeter,Android 9.0 (Pie)
